
Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
212	2x	DNAseI_hypersensitive_site	3099.1	9110.4	3
213	2x	DNAseI_hypersensitive_site	3412.6	8317.0	3
214	2x	DNAseI_hypersensitive_site	7261.4	20998.6	3
215	2x	DNAseI_hypersensitive_site	5304.0	17177.6	3
216	2x	DNAseI_hypersensitive_site	4508.0	14701.8	3
217	2x	DNAseI_hypersensitive_site	4584.0	15996.8	3
218	2x	DNAseI_hypersensitive_site	9773.6	36053.3	3
219	2x	DNAseI_hypersensitive_site	6099.9	25311.5	3
220	2x	DNAseI_hypersensitive_site	6681.4	29359.8	3
221	2x	DNAseI_hypersensitive_site	7408.2	19073.4	3
222	2x	DNAseI_hypersensitive_site	4644.6	13712.0	3
223	2x	DNAseI_hypersensitive_site	20081.9	57328.2	3
224	2x	DNAseI_hypersensitive_site	8317.0	36434.1	3
225	2x	DNAseI_hypersensitive_site	4808.2	18433.9	3
226	2x	DNAseI_hypersensitive_site	4460.0	11039.9	3
227	2x	DNAseI_hypersensitive_site	8199.1	39836.1	3
228	2x	DNAseI_hypersensitive_site	9043.5	40056.1	3
229	2x	DNAseI_hypersensitive_site	10841.1	35096.6	3
230	2x	DNAseI_hypersensitive_site	5511.0	14700.1	3
231	2x	DNAseI_hypersensitive_site	20959.6	63270.8	3
232	2x	DNAseI_hypersensitive_site	5990.4	16111.5	3
233	2x	DNAseI_hypersensitive_site	4434.2	22185.2	3
234	2x	DNAseI_hypersensitive_site	2223.8	5684.7	3
235	2x	DNAseI_hypersensitive_site	8548.3	26187.3	3
236	2x	DNAseI_hypersensitive_site	10522.9	29486.5	3
237	2x	DNAseI_hypersensitive_site	8145.7	24540.9	3
238	2x	DNAseI_hypersensitive_site	5221.3	15396.5	3
239	2x	DNAseI_hypersensitive_site	8865.3	25589.6	3
240	2x	DNAseI_hypersensitive_site	3068.7	9468.6	3
241	2x	DNAseI_hypersensitive_site	5601.2	22628.3	3
242	2x	DNAseI_hypersensitive_site	10416.7	35591.8	3
243	2x	DNAseI_hypersensitive_site	14476.4	37802.7	3
244	2x	DNAseI_hypersensitive_site	3996.9	14503.1	3
245	2x	DNAseI_hypersensitive_site	2678.8	7849.4	3
246	2x	DNAseI_hypersensitive_site	2021.1	5897.1	3
247	2x	DNAseI_hypersensitive_site	8302.1	26329.2	3
248	2x	DNAseI_hypersensitive_site	9506.1	30847.0	3
249	2x	DNAseI_hypersensitive_site	2778.8	7832.6	3
250	2x	DNAseI_hypersensitive_site	13846.0	41237.1	3
251	2x	DNAseI_hypersensitive_site	7654.0	34124.3	3
252	2x	DNAseI_hypersensitive_site	3283.1	8873.0	3
253	2x	DNAseI_hypersensitive_site	8836.5	30253.0	3
254	2x	DNAseI_hypersensitive_site	2173.0	4543.4	3
255	2x	DNAseI_hypersensitive_site	5666.5	27838.3	3
256	2x	DNAseI_hypersensitive_site	2610.9	6987.8	3
257	2x	DNAseI_hypersensitive_site	8789.5	29592.2	3
258	2x	DNAseI_hypersensitive_site	10865.1	27950.2	3
259	2x	DNAseI_hypersensitive_site	11849.6	36611.6	3
260	2x	DNAseI_hypersensitive_site	5780.3	23162.7	3
261	2x	DNAseI_hypersensitive_site	4227.7	10560.2	3
262	2x	DNAseI_hypersensitive_site	11599.1	41042.9	3
263	2x	DNAseI_hypersensitive_site	2112.7	4545.6	3
264	2x	DNAseI_hypersensitive_site	4325.3	18815.0	3
265	2x	DNAseI_hypersensitive_site	1988.9	2517.0	3
266	2x	DNAseI_hypersensitive_site	6299.7	21896.1	3
267	2x	DNAseI_hypersensitive_site	3414.6	11879.4	3
268	2x	DNAseI_hypersensitive_site	7958.2	34717.5	3
269	2x	DNAseI_hypersensitive_site	15281.4	46696.2	3
270	2x	DNAseI_hypersensitive_site	2916.6	6425.4	3
271	2x	DNAseI_hypersensitive_site	7679.1	20916.7	3
272	2x	DNAseI_hypersensitive_site	3334.5	8286.7	3
273	2x	DNAseI_hypersensitive_site	10697.6	38869.8	3
274	2x	DNAseI_hypersensitive_site	8178.3	39576.0	3
275	2x	DNAseI_hypersensitive_site	13541.6	41315.8	3
276	2x	DNAseI_hypersensitive_site	3873.8	9355.1	3
277	2x	DNAseI_hypersensitive_site	4901.6	14467.7	3
278	2x	DNAseI_hypersensitive_site	7543.2	20435.6	3
279	2x	DNAseI_hypersensitive_site	7587.0	32706.8	3
280	2x	DNAseI_hypersensitive_site	3448.1	9459.6	3
281	2x	DNAseI_hypersensitive_site	11870.5	25240.6	3
282	2x	DNAseI_hypersensitive_site	1684.1	3089.1	3
283	2x	DNAseI_hypersensitive_site	1619.7	3207.4	3
284	2x	DNAseI_hypersensitive_site	6901.1	17703.7	3
285	2x	DNAseI_hypersensitive_site	8465.0	21301.4	3
286	2x	DNAseI_hypersensitive_site	7965.0	28212.4	3
287	2x	DNAseI_hypersensitive_site	3695.7	8027.8	3
288	2x	DNAseI_hypersensitive_site	2012.5	5354.0	3
289	2x	DNAseI_hypersensitive_site	4671.0	15872.2	3
290	2x	DNAseI_hypersensitive_site	6856.0	26206.8	3
291	2x	DNAseI_hypersensitive_site	9551.5	36703.6	3
292	2x	DNAseI_hypersensitive_site	3477.1	10063.5	3
293	2x	DNAseI_hypersensitive_site	6785.1	26641.8	3
294	2x	DNAseI_hypersensitive_site	6408.2	15037.9	3
295	2x	DNAseI_hypersensitive_site	4283.2	17942.5	3
296	2x	DNAseI_hypersensitive_site	1785.6	3798.2	3
297	2x	DNAseI_hypersensitive_site	5027.2	15428.6	3
298	2x	DNAseI_hypersensitive_site	1510.3	3938.9	3
299	2x	DNAseI_hypersensitive_site	4682.1	15293.6	3
300	2x	DNAseI_hypersensitive_site	1970.3	4430.0	3
301	2x	DNAseI_hypersensitive_site	13945.9	45115.9	3
302	2x	DNAseI_hypersensitive_site	6264.2	17902.8	3
303	2x	DNAseI_hypersensitive_site	7466.2	23017.9	3
304	2x	DNAseI_hypersensitive_site	5287.8	16596.7	3
305	2x	DNAseI_hypersensitive_site	9289.2	32761.6	3
306	2x	DNAseI_hypersensitive_site	3951.8	9982.6	3
307	2x	DNAseI_hypersensitive_site	2473.4	9432.2	3
