Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
375	3x	satellite	293.5	359.6	255
376	3x	satellite	231.0	302.9	256
377	3x	satellite	292.0	327.3	257
378	3x	satellite	360.1	398.1	257
379	3x	satellite	236.6	260.3	258
380	3x	satellite	283.6	305.6	259
381	3x	satellite	309.8	314.3	260
382	3x	satellite	353.6	529.7	261
383	3x	satellite	242.0	287.4	262
384	3x	satellite	281.5	297.0	263
385	3x	satellite	336.5	365.4	264
386	3x	satellite	264.5	256.5	265
387	3x	satellite	833.7	3005.2	265
388	3x	satellite	260.6	382.6	266
389	3x	satellite	291.8	310.7	267
390	3x	satellite	278.2	326.1	268
391	3x	satellite	512.0	1771.6	268
392	3x	satellite	256.5	289.3	269
393	3x	satellite	277.3	288.8	270
394	3x	satellite	248.7	262.0	271
395	3x	satellite	339.3	286.9	272
396	3x	satellite	275.6	373.9	273
397	3x	satellite	267.0	251.5	274
398	3x	satellite	356.1	482.6	275
399	3x	satellite	294.6	350.9	276
400	3x	satellite	616.1	2152.1	276
401	3x	satellite	328.1	422.3	277
402	3x	satellite	342.8	382.4	278
403	3x	satellite	298.8	420.3	279
404	3x	satellite	596.5	1989.2	279
405	3x	satellite	260.8	225.8	280
406	3x	satellite	652.5	2454.8	280
407	3x	satellite	374.4	392.7	280
408	3x	satellite	313.3	368.9	281
409	3x	satellite	216.7	199.3	282
410	3x	satellite	358.8	434.7	282
411	3x	satellite	400.0	446.5	282
412	3x	satellite	348.1	349.4	283
413	3x	satellite	322.4	432.3	284
414	3x	satellite	289.7	370.1	285
415	3x	satellite	240.5	232.2	286
416	3x	satellite	284.7	374.1	287
417	3x	satellite	231.1	284.3	288
418	3x	satellite	620.3	1895.5	288
419	3x	satellite	261.3	303.1	289
420	3x	satellite	297.3	329.6	290
421	3x	satellite	382.4	433.7	290
422	3x	satellite	255.4	344.1	291
423	3x	satellite	336.8	376.2	292
424	3x	satellite	265.5	278.9	293
425	3x	satellite	341.2	446.0	294
426	3x	satellite	374.7	384.2	294
427	3x	satellite	403.9	592.1	294
428	3x	satellite	281.2	289.3	295
429	3x	satellite	202.9	243.3	296
430	3x	satellite	409.6	975.1	296
431	3x	satellite	306.9	374.8	297
432	3x	satellite	648.8	2498.2	297
433	3x	satellite	320.5	377.9	298
434	3x	satellite	339.8	466.0	299
435	3x	satellite	338.2	437.8	300
436	3x	satellite	260.6	312.8	301
437	3x	satellite	331.7	340.6	302
438	3x	satellite	344.3	407.7	303
439	3x	satellite	299.5	365.0	304
440	3x	satellite	311.5	392.9	305
441	3x	satellite	300.7	401.8	306
442	3x	satellite	443.6	511.5	306
443	3x	satellite	312.3	280.7	307
444	3x	satellite	292.6	407.1	308
445	3x	satellite	221.9	290.2	309
446	3x	satellite	286.2	317.3	310
447	3x	satellite	724.8	3589.9	310
448	3x	satellite	383.5	451.5	310
449	3x	satellite	378.5	790.0	310
450	3x	satellite	362.7	466.2	310
451	3x	satellite	297.4	293.6	311
452	3x	satellite	370.9	430.9	311
453	3x	satellite	329.0	395.9	312
454	3x	satellite	329.1	322.2	313
455	3x	satellite	400.5	418.9	313
456	3x	satellite	384.8	637.7	313
